Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
extrinsic_component_of_organelle_membrane(4)	25	0.67673	0.995	1	0.32327	0.005994	0.027147	0.21005	0.000999	0.00151	7	0.19529	0.19081	0.36574	17	0.16965	0.13387	0.27073
extrinsic_component_of_plasma_membrane(4)	136	0.53926	0.95205	1	0.46074	0.048951	0.1334	0.26228	0.000999	0.00151	63	0.28724	0.28372	0.46854	71	0.21935	0.19181	0.34275
eye_development(5)	328	0.52297	0.96304	1	0.47703	0.037962	0.11026	0.3676	0.000999	0.00151	139	0.3003	0.28671	0.47104	142	0.22416	0.14286	0.28301
eye_morphogenesis(5)	147	0.52794	0.92108	1	0.47206	0.07992	0.19083	0.35463	0.000999	0.00151	64	0.31471	0.4985	0.66334	64	0.20296	0.11688	0.24894
eye_photoreceptor_cell_development(7)	37	0.47858	0.43756	1	0.52142	0.56344	0.76431	0.47618	0.15485	0.16842	17	0.39342	0.83017	0.90762	12	0.2442	0.48452	0.63057
eye_photoreceptor_cell_differentiation(6)	49	0.48702	0.50649	1	0.51298	0.49451	0.70083	0.39683	0.006993	0.0091344	22	0.30469	0.44456	0.62022	18	0.20786	0.27872	0.43991
eyelid_development_in_camera_type_eye(4)	11	0.30215	0.060939	0.53051	0.69785	0.94006	1	0.27685	0.023976	0.028843	8	0.25553	0.31169	0.50038	2	0.00058969	0.12488	0.25864
face_development(4)	48	0.44356	0.24076	1	0.55644	0.76024	0.93697	0.31795	0.000999	0.00151	24	0.21684	0.077922	0.19792	19	0.26619	0.6004	0.72446
face_morphogenesis(4)	35	0.40284	0.11888	0.84977	0.59716	0.88212	1	0.3136	0.002997	0.004179	17	0.11623	0.011988	0.051565	14	0.35715	0.88811	0.93403
facial_nerve_morphogenesis(5)&facial_nerve_development(6)	11	0.64252	0.92607	1	0.35748	0.074925	0.18281	0.3542	0.078921	0.088475	3	0.29109	0.45954	0.63398	7	0.28899	0.61938	0.74122
facial_nerve_structural_organization(6)	10	0.66539	0.93107	1	0.33461	0.06993	0.17391	0.30229	0.044955	0.052084	2	2.7961e-06	0.02997	0.10193	7	0.28899	0.61938	0.74122
fascia_adherens(5)	13	0.79097	0.995	1	0.20903	0.005994	0.027147	0.17249	0.000999	0.00151	2	0.056384	0.1998	0.37766	10	0.11296	0.078921	0.19115
fat_cell_differentiation(6)	172	0.54871	0.98601	1	0.45129	0.014985	0.054515	0.21676	0.000999	0.00151	71	0.16244	0.000999	0.0078325	91	0.17307	0.002997	0.018216
fat_soluble_vitamin_biosynthetic_process(5)	14	0.65883	0.96404	1	0.34117	0.036963	0.10848	0.28648	0.018981	0.023137	4	0.30725	0.4975	0.66294	10	0.27818	0.6034	0.72716
fat_soluble_vitamin_metabolic_process(6)	27	0.70906	0.997	1	0.29094	0.003996	0.020197	0.33642	0.010989	0.013931	6	0.30833	0.50549	0.66932	17	0.1902	0.21079	0.36639
fatty_acid_beta_oxidation(7)	49	0.92884	1	1	0.071158	0.000999	0.0072255	0.11512	0.000999	0.00151	4	0.72621	0.98701	0.99682	44	0.039456	0.000999	0.0079587
fatty_acid_binding(4)	36	0.7142	0.999	1	0.2858	0.001998	0.012017	0.14974	0.000999	0.00151	9	0.084878	0.01998	0.076705	24	0.067786	0.003996	0.02234
fatty_acid_biosynthetic_process(6)	128	0.64909	1	1	0.35091	0.000999	0.0072255	0.17178	0.000999	0.00151	43	0.18684	0.005994	0.031404	78	0.089151	0.000999	0.0079587
fatty_acid_catabolic_process(6)	66	0.91895	1	1	0.081048	0.000999	0.0072255	0.093812	0.000999	0.00151	6	0.55461	0.94805	0.97792	59	0.031592	0.000999	0.0079587
fatty_acid_derivative_biosynthetic_process(5)&icosanoid_biosynthetic_process(6)	38	0.40552	0.11089	0.81166	0.59448	0.89011	1	0.27915	0.000999	0.00151	20	0.15457	0.006993	0.035523	14	0.25116	0.53846	0.67707
fatty_acid_derivative_metabolic_process(4)&icosanoid_metabolic_process(5)	105	0.68054	1	1	0.31946	0.000999	0.0072255	0.24587	0.000999	0.00151	29	0.21373	0.047952	0.14442	64	0.11903	0.000999	0.0079587
fatty_acid_derivative_transport(4)&icosanoid_transport(5)	39	0.62415	0.98801	1	0.37585	0.012987	0.048779	0.36719	0.00999	0.012739	12	0.29241	0.40659	0.58942	19	0.14798	0.061938	0.16166
fatty_acid_elongation(7)	13	0.74477	0.99101	1	0.25523	0.00999	0.039912	0.089538	0.000999	0.00151	3	0.088002	0.15984	0.32365	10	0.089998	0.047952	0.1341
fatty_acid_homeostasis(7)	12	0.72724	0.98501	1	0.27276	0.015984	0.05731	0.083393	0.000999	0.00151	3	5.5494e-11	0.001998	0.013454	8	8.9189e-05	0.000999	0.0079587
fatty_acid_ligase_activity(5)	20	0.73556	0.999	1	0.26444	0.001998	0.012017	0.16193	0.000999	0.00151	6	0.38841	0.71728	0.83591	14	0.064872	0.011988	0.051
fatty_acid_metabolic_process(5)	338	0.76242	1	1	0.23758	0.000999	0.0072255	0.17118	0.000999	0.00151	74	0.2242	0.008991	0.042839	241	0.075804	0.000999	0.0079587
fatty_acid_oxidation(6)	77	0.85501	1	1	0.14499	0.000999	0.0072255	0.13669	0.000999	0.00151	11	0.36665	0.71928	0.83678	63	0.055426	0.000999	0.0079587
fatty_acid_transport(5)	65	0.67665	1	1	0.32335	0.000999	0.0072255	0.25039	0.000999	0.00151	19	0.24772	0.2018	0.38004	38	0.093912	0.000999	0.0079587
fatty_acyl_CoA_binding(4)	21	0.83573	1	1	0.16427	0.000999	0.0072255	0.058711	0.000999	0.00151	4	0.29169	0.46454	0.63758	17	0.0038914	0.000999	0.0079587
fatty_acyl_CoA_metabolic_process(6)	12	0.80465	0.999	1	0.19535	0.001998	0.012017	0.057425	0.000999	0.00151	2	0.00019802	0.053946	0.1562	10	0.068871	0.025974	0.088773
fear_response(5)	44	0.55425	0.88511	1	0.44575	0.11588	0.25352	0.48773	0.1988	0.21315	13	0.27496	0.34366	0.53152	21	0.37551	0.96104	0.98053
feeding_behavior(3)	115	0.57066	0.995	1	0.42934	0.005994	0.027147	0.58369	0.84216	0.85257	35	0.47354	0.99401	1	43	0.31512	0.9031	0.94519
female_gamete_generation(5)	99	0.43069	0.085914	0.68731	0.56931	0.91508	1	0.39667	0.002997	0.004179	49	0.27311	0.20679	0.38651	34	0.29082	0.75225	0.84083
female_genitalia_development(5)	16	0.66479	0.95804	1	0.33521	0.042957	0.1214	0.28107	0.007992	0.010371	5	0.34408	0.57343	0.72533	10	0.17767	0.24076	0.39969
female_gonad_development(5)	93	0.4561	0.23277	1	0.5439	0.76823	0.94422	0.35681	0.000999	0.00151	46	0.27442	0.1988	0.3762	33	0.19878	0.15085	0.2926
female_mating_behavior(5)	13	0.82929	0.999	1	0.17071	0.001998	0.012017	0.45739	0.23776	0.25274	1	0.10738	0.43556	0.61332	7	0.11981	0.13387	0.27073
female_meiotic_division(5)	29	0.34827	0.033966	0.33926	0.65173	0.96703	1	0.26783	0.000999	0.00151	16	0.089912	0.004995	0.026952	10	0.33286	0.7952	0.87224
female_pregnancy(4)	104	0.58822	0.998	1	0.41178	0.002997	0.016408	0.35799	0.000999	0.00151	41	0.38371	0.9001	0.95258	51	0.18625	0.05994	0.15842
female_sex_differentiation(5)	108	0.4721	0.38262	1	0.5279	0.61838	0.81448	0.34225	0.000999	0.00151	52	0.26706	0.16583	0.33187	41	0.19697	0.13786	0.27705
ferrous_iron_binding(8)	15	0.44263	0.33666	1	0.55737	0.66434	0.858	0.23652	0.004995	0.0066792	9	0.27453	0.37762	0.56243	5	0.015398	0.043956	0.12641
fertilization(4)	137	0.36233	0.001998	0.036541	0.63767	0.999	1	0.47105	0.031968	0.037662	72	0.29599	0.31469	0.5035	33	0.34008	0.92707	0.96111
fever_generation(7)	13	0.54905	0.71429	1	0.45095	0.28671	0.47979	0.26145	0.004995	0.0066792	6	0.29801	0.47253	0.64287	6	0.10181	0.11888	0.25152
fibril(3)	15	0.182	0.001998	0.036541	0.818	0.999	1	0.33947	0.033966	0.039855	13	0.27646	0.35265	0.54017	1	0.49803	0.74226	0.83398
fibril_organization(4)	15	0.69634	0.98102	1	0.30366	0.01998	0.068491	0.2655	0.007992	0.010371	4	0.35909	0.61938	0.76196	11	0.23147	0.4046	0.55941
fibrillar_collagen_trimer(3)	13	0.41547	0.25574	1	0.58453	0.74525	0.92547	0.22878	0.001998	0.002859	8	0.23603	0.25375	0.4397	5	0.21719	0.45255	0.60268
fibrinolysis(6)	16	0.73859	0.996	1	0.26141	0.004995	0.023727	0.1169	0.000999	0.00151	5	0.35053	0.59441	0.74134	11	0.010699	0.000999	0.0079587
fibroblast_apoptotic_process(8)	19	0.26685	0.013986	0.16412	0.73315	0.98701	1	0.13466	0.000999	0.00151	14	0.096381	0.007992	0.039604	5	0.24184	0.5035	0.64746
fibroblast_growth_factor_binding(5)	24	0.54464	0.7952	1	0.45536	0.20579	0.3838	0.20329	0.000999	0.00151	10	0.15108	0.047952	0.14442	14	0.24058	0.47952	0.62724
fibroblast_growth_factor_receptor_binding(6)	22	0.39593	0.13686	0.93451	0.60407	0.86414	1	0.57687	0.65335	0.66838	10	0.37846	0.7003	0.82374	5	0.38132	0.7952	0.87224
fibroblast_growth_factor_receptor_signaling_pathway(6)	63	0.47859	0.44955	1	0.52141	0.55145	0.75322	0.31462	0.000999	0.00151	30	0.24109	0.12787	0.27905	25	0.18353	0.15185	0.29369
fibroblast_migration(6)	35	0.48802	0.53347	1	0.51198	0.46753	0.67225	0.22556	0.000999	0.00151	15	0.070138	0.001998	0.013454	18	0.26904	0.57942	0.70809
fibroblast_proliferation(4)	80	0.56211	0.96404	1	0.43789	0.036963	0.10848	0.20901	0.000999	0.00151	32	0.15488	0.002997	0.018503	42	0.13725	0.002997	0.018216
fibronectin_binding(4)	28	0.4898	0.54246	1	0.5102	0.45854	0.66216	0.2871	0.001998	0.002859	16	0.359	0.70829	0.82949	11	0.11771	0.073926	0.18255
filamentous_actin(4)	26	0.54999	0.82318	1	0.45001	0.17782	0.34406	0.25435	0.000999	0.00151	11	0.23239	0.22977	0.41282	14	0.21834	0.37962	0.53641
filamin_binding(5)	8	0.58466	0.75225	1	0.41534	0.24875	0.43673	0.40046	0.16983	0.18352	3	0.39815	0.68232	0.81202	4	0.25231	0.55145	0.68669
filopodium(4)	73	0.48344	0.49251	1	0.51656	0.50849	0.71446	0.22869	0.000999	0.00151	38	0.2282	0.053946	0.1562	33	0.1825	0.085914	0.2023
filopodium_assembly(6)	43	0.53805	0.81618	1	0.46195	0.18482	0.35291	0.19354	0.000999	0.00151	17	0.074076	0.002997	0.018503	25	0.24252	0.43656	0.58865
filopodium_membrane(5)	15	0.42932	0.29271	1	0.57068	0.70829	0.89665	0.20351	0.001998	0.002859	9	0.21846	0.20579	0.38507	6	0.18109	0.33067	0.49076
filopodium_tip(4)	12	0.3181	0.080919	0.65675	0.6819	0.92008	1	0.27533	0.016983	0.0208	7	0.093017	0.028971	0.099653	4	0.4132	0.83916	0.90546
flavin_adenine_dinucleotide_binding(5)	71	0.75097	1	1	0.24903	0.000999	0.0072255	0.12289	0.000999	0.00151	19	0.29904	0.43457	0.61268	52	0.058527	0.000999	0.0079587
flavonoid_biosynthetic_process(5)&flavonoid_glucuronidation(5)	21	0.86109	1	1	0.13891	0.000999	0.0072255	0.014274	0.000999	0.00151	3	0.07757	0.14585	0.30352	18	0.0037245	0.000999	0.0079587
flavonoid_metabolic_process(4)	23	0.87309	1	1	0.12691	0.000999	0.0072255	0.013187	0.000999	0.00151	3	0.07757	0.14585	0.30352	20	0.0035301	0.000999	0.0079587
fluid_transport(4)	21	0.60197	0.91808	1	0.39803	0.082917	0.19624	0.44686	0.13786	0.1507	6	0.32091	0.53746	0.69605	11	0.31442	0.73327	0.82693
foam_cell_differentiation(6)&macrophage_derived_foam_cell_differentiation(7)	20	0.55825	0.79321	1	0.44175	0.20779	0.38613	0.22989	0.000999	0.00151	8	0.1757	0.11489	0.25962	11	0.19929	0.3017	0.46296
focal_adhesion(5)	342	0.53445	0.99301	1	0.46555	0.007992	0.034015	0.16065	0.000999	0.00151	160	0.17615	0.000999	0.0078325	180	0.13755	0.000999	0.0079587
focal_adhesion_assembly(6)&cell_substrate_adherens_junction_assembly(7)	55	0.65571	1	1	0.34429	0.000999	0.0072255	0.17872	0.000999	0.00151	20	0.29893	0.45954	0.63398	35	0.11003	0.000999	0.0079587
folic_acid_binding(4)	11	0.72884	0.98801	1	0.27116	0.012987	0.048779	0.10799	0.000999	0.00151	3	0.20373	0.2957	0.48155	8	0.072083	0.038961	0.1166
folic_acid_containing_compound_metabolic_process(5)	20	0.52127	0.66633	1	0.47873	0.33467	0.53179	0.16532	0.000999	0.00151	10	0.20786	0.14386	0.30096	10	0.12278	0.097902	0.22059
forebrain_cell_migration(5)	64	0.50924	0.67433	1	0.49076	0.32667	0.52193	0.29254	0.000999	0.00151	26	0.14954	0.004995	0.026952	31	0.25272	0.48651	0.63182
forebrain_development(4)	316	0.48773	0.54945	1	0.51227	0.45155	0.65616	0.33122	0.000999	0.00151	145	0.24791	0.008991	0.042839	131	0.21922	0.10789	0.23564
forebrain_generation_of_neurons(5)	71	0.61328	0.997	1	0.38672	0.003996	0.020197	0.41097	0.003996	0.0054487	22	0.35331	0.71229	0.83285	37	0.25421	0.53247	0.67219
forebrain_morphogenesis(4)	17	0.67833	0.98402	1	0.32167	0.016983	0.060248	0.48474	0.25974	0.27489	3	0.25343	0.38362	0.56832	9	0.27558	0.58841	0.71464
forebrain_neuron_development(7)	31	0.6165	0.97003	1	0.3835	0.030969	0.09557	0.28975	0.001998	0.002859	9	0.1263	0.04995	0.14843	18	0.21365	0.3047	0.46649
forebrain_neuron_differentiation(6)	62	0.6329	0.998	1	0.3671	0.002997	0.016408	0.43127	0.022977	0.027701	18	0.38969	0.82118	0.90118	32	0.24139	0.41658	0.57127
forebrain_neuron_fate_commitment(7)	14	0.66443	0.96404	1	0.33557	0.036963	0.10848	0.55129	0.53447	0.55054	4	0.70805	0.98601	0.99682	8	0.36073	0.83516	0.90246
forebrain_regionalization(5)	25	0.5423	0.75225	1	0.4577	0.24875	0.43673	0.62838	0.81618	0.82827	8	0.51453	0.94306	0.97442	10	0.45934	0.96903	0.98538
foregut_morphogenesis(4)	11	0.81724	1	1	0.18276	0.000999	0.0072255	0.15386	0.000999	0.00151	2	0.41794	0.67433	0.80596	9	0.09517	0.065934	0.16841
forelimb_morphogenesis(6)	41	0.52933	0.75724	1	0.47067	0.24376	0.43157	0.50628	0.31668	0.33201	16	0.42424	0.8971	0.95091	15	0.26464	0.57043	0.70133
formation_of_primary_germ_layer(4)	87	0.6173	0.998	1	0.3827	0.002997	0.016408	0.29467	0.000999	0.00151	29	0.26154	0.2008	0.37912	50	0.20103	0.11289	0.24338
four_way_junction_DNA_binding(8)	12	0.28597	0.036963	0.36431	0.71403	0.96404	1	0.072453	0.000999	0.00151	9	0.09626	0.023976	0.087328	3	0.0010298	0.062937	0.16337
frizzled_binding(6)	38	0.68362	0.999	1	0.31638	0.001998	0.012017	0.40594	0.031968	0.037662	9	0.41914	0.81718	0.90049	24	0.27723	0.65235	0.76858
fucosidase_activity(6)	23	0.76653	1	1	0.23347	0.000999	0.0072255	0.29705	0.000999	0.00151	4	0.31164	0.5025	0.6668	16	0.16159	0.13387	0.27073
fucosylation(6)	11	0.50991	0.61538	1	0.49009	0.38561	0.58958	0.29721	0.035964	0.042125	5	0.24676	0.31968	0.50917	5	0.2071	0.42657	0.57833
fucosyltransferase_activity(6)	61	0.4422	0.19181	1	0.5578	0.80919	0.9737	0.38528	0.003996	0.0054487	32	0.31293	0.4985	0.66334	24	0.35366	0.93706	0.96668
fusion_of_sperm_to_egg_plasma_membrane(5)	10	0.32567	0.1029	0.77601	0.67433	0.8981	1	0.49831	0.37263	0.38812	5	0.25425	0.34066	0.52933	2	0.35595	0.67732	0.78856
galactose_3_O_sulfotransferase_activity(6)	43	0.67954	1	1	0.32046	0.000999	0.0072255	0.47995	0.15884	0.17259	12	0.60686	0.997	1	24	0.26482	0.58941	0.71533
galactose_metabolic_process(7)	10	0.75847	0.98901	1	0.24153	0.011988	0.045744	0.19239	0.002997	0.004179	2	0.27334	0.42957	0.60808	8	0.17215	0.24975	0.40904
galactosidase_activity(6)	25	0.77748	1	1	0.22252	0.000999	0.0072255	0.34062	0.010989	0.013931	5	0.57248	0.94705	0.97719	17	0.15606	0.1019	0.22685
galactosyltransferase_activity(6)	73	0.43169	0.12687	0.88891	0.56831	0.87413	1	0.39441	0.003996	0.0054487	38	0.29966	0.3956	0.57889	28	0.37159	0.97403	0.98865
gamete_generation(4)	519	0.46672	0.15185	0.98665	0.53328	0.84915	1	0.41311	0.000999	0.00151	226	0.26589	0.007992	0.039604	183	0.24216	0.34665	0.50684
gamma_aminobutyric_acid_secretion(6)	13	0.59794	0.84416	1	0.40206	0.15684	0.31472	0.64095	0.80519	0.81799	4	0.66138	0.97702	0.99263	6	0.4478	0.92807	0.9614
gamma_aminobutyric_acid_signaling_pathway(7)	23	0.60783	0.94006	1	0.39217	0.060939	0.15689	0.50042	0.2987	0.3138	8	0.55142	0.96903	0.98841	12	0.34153	0.83417	0.90211
gamma_aminobutyric_acid_transport(7)	16	0.65598	0.95405	1	0.34402	0.046953	0.1298	0.57722	0.65135	0.66654	4	0.66138	0.97702	0.99263	9	0.39889	0.88711	0.93342
gamma_catenin_binding(4)	13	0.65019	0.93506	1	0.34981	0.065934	0.16675	0.2638	0.006993	0.0091344	4	0.2918	0.46454	0.63758	9	0.25136	0.52048	0.66293
gamma_delta_T_cell_activation(6)	13	0.52475	0.62937	1	0.47525	0.37163	0.57355	0.2258	0.001998	0.002859	6	0.21492	0.25774	0.44328	7	0.23513	0.43556	0.5879
gamma_delta_T_cell_differentiation(7)	11	0.50791	0.61039	1	0.49209	0.39061	0.59464	0.2234	0.008991	0.011567	5	0.16315	0.14286	0.29952	6	0.27361	0.60939	0.73254
gamma_tubulin_binding(6)	21	0.41236	0.19381	1	0.58764	0.80719	0.97269	0.20666	0.000999	0.00151	12	0.16707	0.041958	0.13079	7	0.047867	0.036963	0.11228
gamma_tubulin_complex(4)	11	0.28763	0.047952	0.44578	0.71237	0.95305	1	0.23235	0.010989	0.013931	8	0.18023	0.12787	0.27905	3	0.37135	0.72627	0.82265
ganglion_development(5)	13	0.55112	0.72128	1	0.44888	0.27972	0.47161	0.3468	0.04995	0.057554	7	0.48839	0.8991	0.95182	6	0.1816	0.33067	0.49076
ganglioside_metabolic_process(7)	15	0.5508	0.74825	1	0.4492	0.25275	0.44029	0.28505	0.010989	0.013931	6	0.21637	0.25974	0.44523	7	0.13965	0.17483	0.32159
gap_junction(4)	32	0.54394	0.80519	1	0.45606	0.1958	0.36855	0.45247	0.13387	0.14648	12	0.35784	0.66533	0.79807	12	0.18209	0.24276	0.40112
gap_junction_channel_activity(7)	13	0.55275	0.72627	1	0.44725	0.27473	0.466	0.47288	0.28372	0.2988	5	0.42023	0.74326	0.85191	5	0.20925	0.42757	0.57933
gas_transport(4)	14	0.3939	0.21279	1	0.6061	0.78821	0.9579	0.34131	0.044955	0.052084	7	0.15943	0.11389	0.25859	5	0.33247	0.7043	0.80705
gastric_acid_secretion(6)	17	0.42763	0.26973	1	0.57237	0.73127	0.91385	0.67906	0.8951	0.90426	6	0.43678	0.81818	0.90061	3	0.30778	0.61938	0.74122
gastrulation(4)	142	0.58478	1	1	0.41522	0.000999	0.0072255	0.26916	0.000999	0.00151	53	0.22731	0.026973	0.095232	76	0.17334	0.015984	0.062081
gastrulation_with_mouth_forming_second(5)	30	0.72011	0.998	1	0.27989	0.002997	0.016408	0.14013	0.000999	0.00151	8	0.18566	0.13586	0.28996	21	0.081843	0.008991	0.040847
gated_channel_activity(6)	301	0.50308	0.78322	1	0.49692	0.21778	0.39939	0.49959	0.044955	0.052084	120	0.37877	0.98801	0.99682	128	0.40567	1	1
gene_silencing(4)	149	0.31635	0.000999	0.0217	0.68365	1	1	0.37404	0.000999	0.00151	84	0.18685	0.000999	0.0078325	34	0.26579	0.6044	0.72797
gene_silencing_by_RNA(5)	100	0.33111	0.000999	0.0217	0.66889	1	1	0.4712	0.040959	0.047768	52	0.25768	0.12887	0.27986	20	0.28601	0.71329	0.814
gene_silencing_by_miRNA(7)	73	0.3441	0.000999	0.0217	0.6559	1	1	0.51444	0.31269	0.32798	35	0.27537	0.23576	0.41997	14	0.27974	0.66733	0.78019
generation_of_precursor_metabolites_and_energy(4)	252	0.66542	1	1	0.33458	0.000999	0.0072255	0.1961	0.000999	0.00151	82	0.2388	0.02997	0.10193	153	0.083887	0.000999	0.0079587
genetic_imprinting(5)	30	0.26636	0.001998	0.036541	0.73364	0.999	1	0.24599	0.000999	0.00151	21	0.14991	0.010989	0.049003	7	0.31881	0.6963	0.80159
genitalia_development(4)	45	0.61455	0.98002	1	0.38545	0.020979	0.070653	0.29115	0.000999	0.00151	16	0.28955	0.3976	0.58042	24	0.14454	0.047952	0.1341
genitalia_morphogenesis(4)	14	0.54299	0.74426	1	0.45701	0.25674	0.44506	0.30924	0.025974	0.031041	6	0.28725	0.44555	0.62097	7	0.22941	0.42058	0.5751
germ_cell_development(4)	242	0.46821	0.23876	1	0.53179	0.76224	0.93874	0.44586	0.000999	0.00151	104	0.29721	0.2997	0.48651	86	0.29056	0.84715	0.91085
germ_cell_nucleus(6)	25	0.21539	0.000999	0.0217	0.78461	1	1	0.36696	0.018981	0.023137	17	0.1997	0.080919	0.2023	3	0.25969	0.51748	0.66113
germ_cell_proliferation(4)	12	0.4557	0.40959	1	0.5443	0.59141	0.79011	0.28417	0.016983	0.0208	5	0.061272	0.027972	0.096966	4	0.025926	0.1009	0.22515
germinal_center_formation(6)	16	0.42589	0.27672	1	0.57411	0.72428	0.909	0.18938	0.001998	0.002859	10	0.23292	0.21079	0.39124	6	0.11681	0.14286	0.28301
gland_development(4)	370	0.55729	1	1	0.44271	0.000999	0.0072255	0.33023	0.000999	0.00151	148	0.28859	0.16983	0.33764	177	0.19476	0.010989	0.047598
gland_morphogenesis(4)	130	0.59344	0.997	1	0.40656	0.003996	0.020197	0.31689	0.000999	0.00151	47	0.28191	0.24875	0.43408	67	0.1783	0.026973	0.090934
glandular_epithelial_cell_development(7)	23	0.64906	0.98002	1	0.35094	0.020979	0.070653	0.29413	0.000999	0.00151	7	0.26624	0.36563	0.55122	13	0.14625	0.12687	0.26148
glandular_epithelial_cell_differentiation(8)	48	0.65425	0.999	1	0.34575	0.001998	0.012017	0.39437	0.007992	0.010371	14	0.40251	0.82318	0.90233	26	0.20364	0.22478	0.38284
glial_cell_apoptotic_process(8)	11	0.24809	0.022977	0.24955	0.75191	0.97802	1	0.20124	0.005994	0.0079142	9	0.20398	0.17383	0.34313	2	0.18892	0.43956	0.59198
glial_cell_development(5)	68	0.62239	0.999	1	0.37761	0.001998	0.012017	0.26987	0.000999	0.00151	23	0.26123	0.22078	0.40196	41	0.20349	0.16284	0.30748
glial_cell_differentiation(6)	171	0.60299	1	1	0.39701	0.000999	0.0072255	0.30369	0.000999	0.00151	59	0.26325	0.13686	0.29135	97	0.22062	0.14785	0.28931
glial_cell_fate_commitment(6)	14	0.50555	0.6044	1	0.49445	0.3966	0.6009	0.48412	0.3027	0.31775	7	0.49363	0.9031	0.95394	5	0.26446	0.55744	0.69107
glial_cell_migration(5)	38	0.43574	0.22478	1	0.56426	0.77622	0.94917	0.31044	0.001998	0.002859	21	0.2629	0.23077	0.41384	16	0.32975	0.84715	0.91085
glial_cell_projection(4)	13	0.65775	0.94505	1	0.34225	0.055944	0.14691	0.19248	0.000999	0.00151	4	0.20046	0.28172	0.46674	9	0.18893	0.3037	0.46517
glial_cell_proliferation(4)	26	0.56142	0.86014	1	0.43858	0.14086	0.29217	0.35787	0.012987	0.016204	10	0.30037	0.44356	0.62012	12	0.19176	0.27473	0.43586
gliogenesis(7)	220	0.56801	0.999	1	0.43199	0.001998	0.012017	0.32196	0.000999	0.00151	85	0.28256	0.19181	0.36702	115	0.23317	0.25674	0.41783
glomerular_filtration(7)	18	0.61768	0.93407	1	0.38232	0.066933	0.16826	0.24499	0.000999	0.00151	6	0.18131	0.18082	0.3537	10	0.1322	0.11688	0.24894
glomerular_mesangium_development(6)	10	0.59323	0.81518	1	0.40677	0.18581	0.35401	0.24532	0.00999	0.012739	4	0.28973	0.46054	0.63431	6	0.21571	0.42557	0.57803
glomerulus_development(4)	40	0.53487	0.8012	1	0.46513	0.1998	0.3747	0.23086	0.000999	0.00151	18	0.22096	0.11788	0.26433	21	0.20272	0.23976	0.39853
glomerulus_vasculature_development(5)	15	0.53104	0.69131	1	0.46896	0.30969	0.5044	0.25545	0.005994	0.0079142	7	0.26877	0.37463	0.55984	8	0.24379	0.48951	0.63509
glucocorticoid_biosynthetic_process(7)	13	0.65291	0.93706	1	0.34709	0.063936	0.1628	0.42672	0.15285	0.16643	5	0.62171	0.96803	0.98815	7	0.20554	0.36064	0.52002
glucocorticoid_metabolic_process(6)	21	0.5511	0.77023	1	0.4489	0.23077	0.41482	0.32862	0.007992	0.010371	10	0.39726	0.75225	0.85824	10	0.19285	0.29271	0.45269
glucocorticoid_receptor_binding(8)	15	0.54806	0.74026	1	0.45194	0.26074	0.44955	0.073289	0.000999	0.00151	7	0.11009	0.044955	0.13801	8	0.04109	0.013986	0.05669
glucocorticoid_receptor_signaling_pathway(8)	15	0.65384	0.95904	1	0.34616	0.041958	0.11918	0.16143	0.000999	0.00151	5	0.20367	0.22677	0.40964	10	0.14031	0.13387	0.27073
glucocorticoid_secretion(6)	10	0.51605	0.60839	1	0.48395	0.39261	0.59606	0.62448	0.72927	0.74344	3	0.41158	0.6973	0.82151	4	0.50251	0.93207	0.96316
gluconeogenesis(8)	55	0.69959	1	1	0.30041	0.000999	0.0072255	0.2039	0.000999	0.00151	15	0.2324	0.17582	0.34646	37	0.12781	0.004995	0.02655
glucosamine_containing_compound_catabolic_process(7)	11	0.42497	0.31568	1	0.57503	0.68531	0.87599	0.46717	0.29271	0.30789	5	0.29384	0.44056	0.61684	3	0.22321	0.40959	0.56422
glucosamine_containing_compound_metabolic_process(6)	25	0.5034	0.58042	1	0.4966	0.42058	0.62468	0.32528	0.007992	0.010371	11	0.23977	0.24675	0.43161	10	0.14945	0.15784	0.30171
glucose_6_phosphate_metabolic_process(5)	21	0.53318	0.7013	1	0.46682	0.2997	0.49364	0.16912	0.000999	0.00151	10	0.19394	0.11189	0.25588	10	0.061204	0.015984	0.062081
glucose_binding(5)	10	0.41045	0.29171	1	0.58955	0.70929	0.89724	0.020909	0.000999	0.00151	6	0.034846	0.00999	0.046407	4	2.4016e-06	0.010989	0.047598
glucose_import(8)	74	0.64274	0.998	1	0.35726	0.002997	0.016408	0.24896	0.000999	0.00151	26	0.29354	0.35165	0.53926	40	0.069767	0.000999	0.0079587
glucose_import_in_response_to_insulin_stimulus(4)&regulation_of_glucose_import_in_response_to_insulin_stimulus(5)	12	0.5637	0.76623	1	0.4363	0.23477	0.41953	0.11759	0.000999	0.00151	5	0.081236	0.043956	0.13562	6	0.00080813	0.004995	0.02655
glucose_metabolic_process(7)	159	0.67077	1	1	0.32923	0.000999	0.0072255	0.19805	0.000999	0.00151	51	0.25552	0.12687	0.27778	100	0.10459	0.000999	0.0079587
